package,date,version,total_dependencies,source
numpy,2025-06-07 14:36:52,2.3.0,0,pypi
numpy,2025-06-21 11:47:47,2.3.1,0,pypi
numpy,2025-07-24 20:24:35,2.3.2,0,pypi
numpy,2025-09-09 15:56:02,2.3.3,0,pypi
numpy,2025-10-15 16:15:19,2.3.4,0,pypi
pandas,2009-12-25 23:58:31,0.1,0,pypi
pandas,2010-05-18 15:14:26,0.2,0,pypi
pandas,2011-02-20 02:00:14,0.3.0,0,pypi
pandas,2011-09-12 22:35:52,0.4.0,0,pypi
pandas,2011-09-26 03:55:34,0.4.1,0,pypi
pandas,2011-10-03 06:48:14,0.4.2,0,pypi
pandas,2011-10-09 23:59:30,0.4.3,0,pypi
pandas,2011-10-25 04:35:01,0.5.0,0,pypi
pandas,2011-11-26 04:23:05,0.6.0,0,pypi
pandas,2011-12-14 00:08:35,0.6.1,0,pypi
pandas,2012-02-09 23:30:09,0.7.0,0,pypi
pandas,2012-02-29 23:06:17,0.7.1,0,pypi
pandas,2012-03-16 21:39:20,0.7.2,0,pypi
pandas,2012-04-12 19:36:20,0.7.3,0,pypi
pandas,2012-06-29 18:21:08,0.8.0,0,pypi
pandas,2012-07-22 21:48:35,0.8.1,0,pypi
pandas,2012-10-08 00:17:55,0.9.0,0,pypi
pandas,2012-11-15 00:41:47,0.9.1,0,pypi
pandas,2012-12-17 16:52:06,0.10.0,0,pypi
pandas,2013-01-22 05:22:09,0.10.1,0,pypi
pandas,2013-04-23 01:05:34,0.11.0,0,pypi
pandas,2013-07-24 20:23:04,0.12.0,0,pypi
pandas,2014-01-16 23:10:24,0.13.0,0,pypi
pandas,2014-02-09 22:21:00,0.13.1,0,pypi
pandas,2014-05-30 19:46:42,0.14.0,0,pypi
pandas,2014-07-28 12:49:37,0.14.1,0,pypi
pandas,2014-10-19 12:27:35,0.15.0,0,pypi
pandas,2014-11-08 22:31:52,0.15.1,0,pypi
pandas,2015-01-23 11:30:49,0.15.2,0,pypi
pandas,2015-03-23 09:56:15,0.16.0,0,pypi
pandas,2015-05-11 11:37:33,0.16.1,0,pypi
pandas,2015-06-13 17:43:56,0.16.2,0,pypi
pandas,2015-10-09 14:18:37,0.17.0,0,pypi
pandas,2015-11-20 18:59:34,0.17.1,3,pypi
